Info 0    [09:51:13.382] Starting TS Server
Info 51   [09:51:19.900] getCompletionData: Is inside comment: 0.1577560007572174
Info 52   [09:51:19.900] getCompletionData: Get previous token 1: 0.14423799514770508
Info 53   [09:51:19.900] getCompletionData: Get previous token 2: 0.14983999729156494
Info 54   [09:51:19.901] getCompletionsAtPosition: isCompletionListBlocker: 0.0166579931974411
Info 55   [09:51:19.910] getSymbolsFromOtherSourceFileExports: Using cached list
Info 56   [09:51:19.911] getCompletionData: Semantic work: 10.2897440046072
Info 57   [09:51:19.921] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.879680007696152
Info 58   [09:51:19.931] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 59   [09:51:19.945] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 13.543588995933533ms
Info 60   [09:51:19.945] Different program with same set of files:: structureIsReused:: 2
Info 61   [09:51:19.946] getCompletionData: Get current token: 0.024240002036094666
Info 62   [09:51:19.946] getCompletionData: Is inside comment: 0.09729400277137756
Info 63   [09:51:19.946] getCompletionData: Get previous token 1: 0.08345799148082733
Info 64   [09:51:19.946] getCompletionData: Get previous token 2: 0.13423499464988708
Info 65   [09:51:19.946] getCompletionsAtPosition: isCompletionListBlocker: 0.013980001211166382
Info 66   [09:51:19.949] getSymbolsFromOtherSourceFileExports: Using cached list
Info 67   [09:51:19.949] getCompletionData: Semantic work: 3.306567996740341
Info 68   [09:51:19.962] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.552204996347427
Info 69   [09:51:19.971] getCompletionData: Get current token: 0.031106993556022644
Info 70   [09:51:19.971] getCompletionData: Is inside comment: 0.6384409964084625
Info 71   [09:51:19.971] getCompletionData: Get previous token 1: 0.09116600453853607
Info 72   [09:51:19.972] getCompletionData: Get previous token 2: 0.08899900317192078
Info 73   [09:51:19.972] getCompletionsAtPosition: isCompletionListBlocker: 0.01615099608898163
Info 74   [09:51:19.974] getSymbolsFromOtherSourceFileExports: Using cached list
Info 75   [09:51:19.974] getCompletionData: Semantic work: 2.4179050028324127
Info 76   [09:51:19.980] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.216841012239456
Info 77   [09:51:19.987] getCompletionData: Get current token: 0.04191799461841583
Info 78   [09:51:19.987] getCompletionData: Is inside comment: 0.12208698689937592
Info 79   [09:51:19.987] getCompletionData: Get previous token 1: 0.10828898847103119
Info 80   [09:51:19.987] getCompletionData: Get previous token 2: 0.11227600276470184
Info 81   [09:51:19.987] getCompletionsAtPosition: isCompletionListBlocker: 0.018952012062072754
Info 82   [09:51:19.990] getSymbolsFromOtherSourceFileExports: Using cached list
Info 83   [09:51:19.991] getCompletionData: Semantic work: 3.5047979950904846
Info 84   [09:51:20.005] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.074266999959946
Info 85   [09:51:20.016] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 86   [09:51:20.041] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 25.00627999007702ms
Info 87   [09:51:20.041] Different program with same set of files:: structureIsReused:: 2
Info 88   [09:51:20.042] getCompletionData: Get current token: 0.04567199945449829
Info 89   [09:51:20.042] getCompletionData: Is inside comment: 0.18685099482536316
Info 90   [09:51:20.042] getCompletionData: Get previous token 1: 0.11827801167964935
Info 91   [09:51:20.042] getCompletionData: Get previous token 2: 0.14319999516010284
Info 92   [09:51:20.043] getCompletionsAtPosition: isCompletionListBlocker: 0.018748998641967773
Info 93   [09:51:20.047] getSymbolsFromOtherSourceFileExports: Using cached list
Info 94   [09:51:20.048] getCompletionData: Semantic work: 5.544445991516113
Info 95   [09:51:20.055] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.29373499751091
Info 96   [09:51:21.180] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [09:51:21.188] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 7.804037004709244ms
Info 98   [09:51:21.188] Different program with same set of files:: structureIsReused:: 2
Info 99   [09:51:21.189] getCompletionData: Get current token: 0.054092004895210266
Info 100  [09:51:21.189] getCompletionData: Is inside comment: 0.018777996301651
Info 101  [09:51:21.190] getCompletionData: Get previous token 1: 0.08587299287319183
Info 102  [09:51:21.190] getCompletionData: Get previous token 2: 0.08215200901031494
Info 103  [09:51:21.190] getCompletionsAtPosition: isCompletionListBlocker: 0.011693000793457031
Info 104  [09:51:21.194] getSymbolsFromOtherSourceFileExports: Recomputing list for details entry
Info 105  [09:51:21.194] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 106  [09:51:21.195] getSymbolsFromOtherSourceFileExports: 0.8710259944200516
Info 107  [09:51:21.195] getCompletionData: Semantic work: 5.400212004780769
Info 108  [09:51:22.289] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 109  [09:51:22.302] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 13.717755004763603ms
Info 110  [09:51:22.303] Different program with same set of files:: structureIsReused:: 2
Info 111  [09:51:25.732] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [09:51:25.734] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 1.290157988667488ms
Info 113  [09:51:27.983] Before ensureProjectForOpenFiles:
Info 114  [09:51:27.983] After ensureProjectForOpenFiles:
Info 115  [09:51:27.983] got projects updated in background, updating diagnostics for /home/arman/go/src/app/index.js
Info 116  [09:51:33.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [09:51:33.507] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 16.818652004003525ms
Info 118  [09:51:33.507] Different program with same set of files:: structureIsReused:: 2
Info 119  [09:51:38.458] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [09:51:38.488] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 29.70059099793434ms
Info 121  [09:51:38.488] Different program with same set of files:: structureIsReused:: 2
Info 122  [09:51:42.585] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 123  [09:51:42.601] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 15.947877004742622ms
Info 124  [09:51:42.601] Different program with same set of files:: structureIsReused:: 2
Info 125  [09:51:47.168] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [09:51:47.178] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 10.82057200372219ms
Info 127  [09:51:47.179] Different program with same set of files:: structureIsReused:: 2
Info 128  [09:51:47.203] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 129  [09:51:47.216] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 13.200391992926598ms
Info 130  [09:51:47.216] Different program with same set of files:: structureIsReused:: 2
Info 131  [09:51:47.715] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 132  [09:51:47.733] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 17.210200995206833ms
Info 133  [09:51:47.733] Different program with same set of files:: structureIsReused:: 2
Info 134  [09:51:48.613] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 135  [09:51:48.633] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 19.433914005756378ms
Info 136  [09:51:48.633] Different program with same set of files:: structureIsReused:: 2
Info 137  [09:51:49.012] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 138  [09:51:49.023] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 11.248572990298271ms
Info 139  [09:51:49.023] Different program with same set of files:: structureIsReused:: 2
Info 140  [09:51:49.399] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 141  [09:51:49.409] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 9.82107700407505ms
Info 142  [09:51:49.409] Different program with same set of files:: structureIsReused:: 2
Info 143  [09:51:49.967] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [09:51:49.980] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 12.61336000263691ms
Info 145  [09:51:49.980] Different program with same set of files:: structureIsReused:: 2
Info 146  [09:51:50.287] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [09:51:50.305] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 18.02325999736786ms
Info 148  [09:51:50.305] Different program with same set of files:: structureIsReused:: 2
Info 149  [09:51:50.727] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [09:51:50.737] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 10.026733011007309ms
Info 151  [09:51:50.737] Different program with same set of files:: structureIsReused:: 2
Info 152  [10:20:07.692] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 153  [10:20:07.721] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 11.985458999872208ms
Info 154  [10:20:07.721] Different program with same set of files:: structureIsReused:: 2
Info 155  [10:20:07.722] getCompletionData: Get current token: 0.012695997953414917
Info 156  [10:20:07.722] getCompletionData: Is inside comment: 0.005006000399589539
Info 157  [10:20:07.722] getCompletionData: Get previous token 1: 0.07293500006198883
Info 158  [10:20:07.722] getCompletionData: Get previous token 2: 0.11781299114227295
Info 159  [10:20:07.722] getCompletionsAtPosition: isCompletionListBlocker: 0.20200499892234802
Info 160  [10:20:07.746] getSymbolsFromOtherSourceFileExports: Using cached list
Info 161  [10:20:07.748] getCompletionData: Semantic work: 26.0932539999485
Info 162  [10:20:07.758] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.741409003734589
Info 163  [10:20:07.795] getCompletionData: Get current token: 0.01261100172996521
Info 164  [10:20:07.795] getCompletionData: Is inside comment: 0.005755007266998291
Info 165  [10:20:07.795] getCompletionData: Get previous token 1: 0.058169007301330566
Info 166  [10:20:07.795] getCompletionData: Get previous token 2: 0.0510140061378479
Info 167  [10:20:07.795] getCompletionsAtPosition: isCompletionListBlocker: 0.036027997732162476
Info 168  [10:20:07.800] getSymbolsFromOtherSourceFileExports: Using cached list
Info 169  [10:20:07.802] getCompletionData: Semantic work: 6.2021680027246475
Info 170  [10:20:07.814] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.039543002843857
Info 171  [10:20:07.828] getCompletionData: Get current token: 0.020571991801261902
Info 172  [10:20:07.828] getCompletionData: Is inside comment: 0.007199004292488098
Info 173  [10:20:07.828] getCompletionData: Get previous token 1: 0.09605900943279266
Info 174  [10:20:07.829] getCompletionData: Get previous token 2: 0.09162700176239014
Info 175  [10:20:07.829] getCompletionsAtPosition: isCompletionListBlocker: 0.027888000011444092
Info 176  [10:20:07.836] getSymbolsFromOtherSourceFileExports: Using cached list
Info 177  [10:20:07.837] getCompletionData: Semantic work: 8.640685006976128
Info 178  [10:20:07.847] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.26299101114273
Info 179  [10:20:07.860] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 180  [10:20:07.869] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 8.30681599676609ms
Info 181  [10:20:07.869] Different program with same set of files:: structureIsReused:: 2
Info 182  [10:20:07.869] getCompletionData: Get current token: 0.013974010944366455
Info 183  [10:20:07.869] getCompletionData: Is inside comment: 0.004625990986824036
Info 184  [10:20:07.869] getCompletionData: Get previous token 1: 0.07623900473117828
Info 185  [10:20:07.869] getCompletionData: Get previous token 2: 0.05460900068283081
Info 186  [10:20:07.869] getCompletionsAtPosition: isCompletionListBlocker: 0.01889699697494507
Info 187  [10:20:07.905] getSymbolsFromOtherSourceFileExports: Using cached list
Info 188  [10:20:07.906] getCompletionData: Semantic work: 35.98974400758743
Info 189  [10:20:07.915] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.977678000926971
Info 190  [10:20:07.930] getCompletionData: Get current token: 0.022266998887062073
Info 191  [10:20:07.930] getCompletionData: Is inside comment: 0.008248001337051392
Info 192  [10:20:07.930] getCompletionData: Get previous token 1: 0.1061830073595047
Info 193  [10:20:07.930] getCompletionData: Get previous token 2: 0.0940680056810379
Info 194  [10:20:07.930] getCompletionsAtPosition: isCompletionListBlocker: 0.03078100085258484
Info 195  [10:20:07.934] getSymbolsFromOtherSourceFileExports: Using cached list
Info 196  [10:20:07.935] getCompletionData: Semantic work: 4.317021012306213
Info 197  [10:20:07.940] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.34264899790287
Info 198  [10:20:07.948] getCompletionData: Get current token: 0.016208991408348083
Info 199  [10:20:07.948] getCompletionData: Is inside comment: 0.007317006587982178
Info 200  [10:20:07.948] getCompletionData: Get previous token 1: 0.06666900217533112
Info 201  [10:20:07.948] getCompletionData: Get previous token 2: 0.059665992856025696
Info 202  [10:20:07.948] getCompletionsAtPosition: isCompletionListBlocker: 0.022771000862121582
Info 203  [10:20:07.951] getSymbolsFromOtherSourceFileExports: Using cached list
Info 204  [10:20:07.951] getCompletionData: Semantic work: 3.4667989909648895
Info 205  [10:20:07.956] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.422714993357658
Info 206  [10:20:07.963] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 207  [10:20:07.974] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 11.082145005464554ms
Info 208  [10:20:07.974] Different program with same set of files:: structureIsReused:: 2
Info 209  [10:20:07.975] getCompletionData: Get current token: 0.023450002074241638
Info 210  [10:20:07.975] getCompletionData: Is inside comment: 0.009098991751670837
Info 211  [10:20:07.975] getCompletionData: Get previous token 1: 0.1050879955291748
Info 212  [10:20:07.975] getCompletionData: Get previous token 2: 0.10514599084854126
Info 213  [10:20:07.975] getCompletionsAtPosition: isCompletionListBlocker: 0.025922998785972595
Info 214  [10:20:08.004] getSymbolsFromOtherSourceFileExports: Using cached list
Info 215  [10:20:08.004] getCompletionData: Semantic work: 29.019558995962143
Info 216  [10:20:08.009] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.495491996407509
Info 217  [10:20:08.165] getCompletionData: Get current token: 0.013750001788139343
Info 218  [10:20:08.165] getCompletionData: Is inside comment: 0.005831003189086914
Info 219  [10:20:08.165] getCompletionData: Get previous token 1: 0.06773100793361664
Info 220  [10:20:08.166] getCompletionData: Get previous token 2: 0.06449800729751587
Info 221  [10:20:08.166] getCompletionsAtPosition: isCompletionListBlocker: 0.020162999629974365
Info 222  [10:20:08.172] getSymbolsFromOtherSourceFileExports: Using cached list
Info 223  [10:20:08.173] getCompletionData: Semantic work: 7.511199995875359
Info 224  [10:20:08.182] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.926597997546196
Info 225  [10:20:08.193] getCompletionData: Get current token: 0.013662993907928467
Info 226  [10:20:08.193] getCompletionData: Is inside comment: 0.00535699725151062
Info 227  [10:20:08.193] getCompletionData: Get previous token 1: 0.06262500584125519
Info 228  [10:20:08.193] getCompletionData: Get previous token 2: 0.11958999931812286
Info 229  [10:20:08.193] getCompletionsAtPosition: isCompletionListBlocker: 0.033820003271102905
Info 230  [10:20:08.198] getSymbolsFromOtherSourceFileExports: Using cached list
Info 231  [10:20:08.200] getCompletionData: Semantic work: 6.7289170026779175
Info 232  [10:20:08.207] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.169259995222092
Info 233  [10:20:08.377] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 234  [10:20:08.395] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 17.76223400235176ms
Info 235  [10:20:08.395] Different program with same set of files:: structureIsReused:: 2
Info 236  [10:20:08.400] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 237  [10:20:08.420] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 19.475774005055428ms
Info 238  [10:20:08.420] Different program with same set of files:: structureIsReused:: 2
Info 239  [10:20:09.459] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 240  [10:20:09.468] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 8.365433990955353ms
Info 241  [10:20:09.468] Different program with same set of files:: structureIsReused:: 2
Info 242  [10:20:09.473] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 243  [10:20:09.484] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 10.95508399605751ms
Info 244  [10:20:09.484] Different program with same set of files:: structureIsReused:: 2
Info 245  [10:20:09.555] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 246  [10:20:09.565] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 9.71298299729824ms
Info 247  [10:20:09.565] Different program with same set of files:: structureIsReused:: 2
Info 248  [10:20:09.650] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 249  [10:20:09.659] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 9.363250002264977ms
Info 250  [10:20:09.659] Different program with same set of files:: structureIsReused:: 2
Info 251  [10:21:28.736] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 252  [10:21:28.745] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 8.643085986375809ms
Info 253  [10:21:28.745] Different program with same set of files:: structureIsReused:: 2
Info 254  [10:21:29.080] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 255  [10:21:29.097] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 16.095573008060455ms
Info 256  [10:21:29.097] Different program with same set of files:: structureIsReused:: 2
Info 257  [10:21:30.340] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 258  [10:21:30.349] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 9.29645499587059ms
Info 259  [10:21:30.349] Different program with same set of files:: structureIsReused:: 2
Info 260  [10:21:30.565] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 261  [10:21:30.588] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 22.39437898993492ms
Info 262  [10:21:30.588] Different program with same set of files:: structureIsReused:: 2
Info 263  [10:21:31.199] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 264  [10:21:31.212] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 13.019216001033783ms
Info 265  [10:21:31.212] Different program with same set of files:: structureIsReused:: 2
Info 266  [10:21:31.653] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 267  [10:21:31.659] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 6.555411994457245ms
Info 268  [10:21:31.659] Different program with same set of files:: structureIsReused:: 2
Info 269  [10:21:32.087] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 270  [10:21:32.094] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 6.679210990667343ms
Info 271  [10:21:32.094] Different program with same set of files:: structureIsReused:: 2
Info 272  [10:21:32.334] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 273  [10:21:32.343] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 8.118575990200043ms
Info 274  [10:21:32.343] Different program with same set of files:: structureIsReused:: 2
Info 275  [10:21:32.593] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 276  [10:21:32.604] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 11.586794003844261ms
Info 277  [10:21:32.605] Different program with same set of files:: structureIsReused:: 2
